"package","version","type"
"abind","1.4.8","dependency"
"ape","5.8.1","dependency"
"askpass","1.2.1","dependency"
"backports","1.5.0","dependency"
"base64enc","0.1.3","dependency"
"bit","4.6.0","dependency"
"bit64","4.6.0.1","dependency"
"blob","1.2.4","dependency"
"broom","1.0.9","dependency"
"bslib","0.9.0","dependency"
"cachem","1.1.0","dependency"
"callr","3.7.6","dependency"
"cellranger","1.1.0","dependency"
"class","7.3.23","dependency"
"classInt","0.4.11","dependency"
"cli","3.6.5","dependency"
"clipr","0.8.0","dependency"
"clock","0.7.3","dependency"
"codetools","0.2.20","dependency"
"conflicted","1.2.0","dependency"
"cpp11","0.5.2","dependency"
"crayon","1.5.3","dependency"
"crul","1.6.0","dependency"
"curl","6.4.0","dependency"
"data.table","1.17.8","dependency"
"DBI","1.2.3","dependency"
"dbplyr","2.5.0","dependency"
"diagram","1.6.5","dependency"
"digest","0.6.37","dependency"
"dtplyr","1.3.1","dependency"
"e1071","1.7.16","dependency"
"evaluate","1.0.4","dependency"
"farver","2.1.2","dependency"
"fastmap","1.2.0","dependency"
"fastmatch","1.1.6","dependency"
"fontawesome","0.5.3","dependency"
"forcats","1.0.0","dependency"
"foreach","1.5.2","dependency"
"fs","1.6.6","dependency"
"future","1.67.0","dependency"
"future.apply","1.20.0","dependency"
"gargle","1.5.2","dependency"
"gbm","2.2.2","dependency"
"generics","0.1.4","dependency"
"globals","0.18.0","dependency"
"glue","1.8.0","dependency"
"googledrive","2.1.1","dependency"
"googlesheets4","1.1.1","dependency"
"gower","1.0.2","dependency"
"gridExtra","2.3","dependency"
"gtable","0.3.6","dependency"
"hardhat","1.4.2","dependency"
"haven","2.5.5","dependency"
"highr","0.11","dependency"
"hms","1.1.3","dependency"
"htmltools","0.5.8.1","dependency"
"httpcode","0.3.0","dependency"
"httr","1.4.7","dependency"
"ids","1.0.1","dependency"
"igraph","2.2.1","dependency"
"ipred","0.9.15","dependency"
"isoband","0.2.7","dependency"
"iterators","1.0.14","dependency"
"jquerylib","0.1.4","dependency"
"jsonlite","2.0.0","dependency"
"KernSmooth","2.23.26","dependency"
"knitr","1.50","dependency"
"labeling","0.4.3","dependency"
"lattice","0.22.7","dependency"
"lava","1.8.1","dependency"
"lazyeval","0.2.2","dependency"
"lifecycle","1.0.4","dependency"
"listenv","0.9.1","dependency"
"lubridate","1.9.4","dependency"
"magrittr","2.0.3","dependency"
"MASS","7.3.65","dependency"
"Matrix","1.7.3","dependency"
"memoise","2.0.1","dependency"
"mime","0.13","dependency"
"ModelMetrics","1.2.2.2","dependency"
"modelr","0.1.11","dependency"
"natserv","1.0.0","dependency"
"nlme","3.1.168","dependency"
"nnet","7.3.20","dependency"
"numDeriv","2016.8.1.1","dependency"
"oai","0.4.0","dependency"
"openssl","2.3.3","dependency"
"parallelly","1.45.1","dependency"
"phangorn","2.12.1","dependency"
"pillar","1.11.0","dependency"
"pkgconfig","2.0.3","dependency"
"plyr","1.8.9","dependency"
"png","0.1.8","dependency"
"PresenceAbsence","1.1.11","dependency"
"prettyunits","1.2.0","dependency"
"pROC","1.19.0.1","dependency"
"processx","3.8.6","dependency"
"prodlim","2025.4.28","dependency"
"progress","1.2.3","dependency"
"progressr","0.15.1","dependency"
"proxy","0.4.27","dependency"
"ps","1.9.1","dependency"
"quadprog","1.5.8","dependency"
"R6","2.6.1","dependency"
"ragg","1.4.0","dependency"
"rappdirs","0.3.3","dependency"
"raster","3.6.32","dependency"
"RColorBrewer","1.1.3","dependency"
"Rcpp","1.0.14","dependency"
"readxl","1.4.5","dependency"
"recipes","1.3.1","dependency"
"rematch","2.0.0","dependency"
"rematch2","2.1.2","dependency"
"rentrez","1.2.4","dependency"
"reprex","2.1.1","dependency"
"reshape","0.8.10","dependency"
"reshape2","1.4.4","dependency"
"ritis","1.0.0","dependency"
"rlang","1.1.6","dependency"
"rmarkdown","2.29","dependency"
"rncl","0.8.7","dependency"
"rotl","3.1.0","dependency"
"rpart","4.1.24","dependency"
"rredlist","1.1.1","dependency"
"rstudioapi","0.17.1","dependency"
"rvest","1.0.4","dependency"
"s2","1.1.9","dependency"
"S7",NA,"dependency"
"sass","0.4.10","dependency"
"scales","1.4.0","dependency"
"selectr","0.4.2","dependency"
"sf","1.0.21","dependency"
"shape","1.4.6.1","dependency"
"solrium","1.2.0","dependency"
"sp","2.2.0","dependency"
"sparsevctrs","0.3.4","dependency"
"SQUAREM","2021.1","dependency"
"stringi","1.8.7","dependency"
"survival","3.8.3","dependency"
"sys","3.4.3","dependency"
"systemfonts","1.2.3","dependency"
"textshaping","1.0.1","dependency"
"tidyselect","1.2.1","dependency"
"timechange","0.3.0","dependency"
"timeDate","4041.110","dependency"
"tinytex","0.57","dependency"
"triebeard","0.4.1","dependency"
"tzdb","0.5.0","dependency"
"units","0.8.7","dependency"
"urltools","1.7.3.1","dependency"
"utf8","1.2.6","dependency"
"uuid","1.2.1","dependency"
"vctrs","0.6.5","dependency"
"viridisLite","0.4.2","dependency"
"whisker","0.4.1","dependency"
"WikipediR","1.7.1","dependency"
"wikitaxa","0.4.0","dependency"
"withr","3.0.2","dependency"
"wk","0.9.4","dependency"
"xfun","0.52","dependency"
"XML","3.99.0.18","dependency"
"xml2","1.3.8","dependency"
"yaml","2.3.10","dependency"
"zoo","1.8.14","dependency"
"biomod2","4.2.6.2","direct"
"caret","7.0.1","direct"
"corrplot","0.95","direct"
"dplyr","1.1.4","direct"
"FNN","1.1.4.1","direct"
"ggplot2","3.5.2","direct"
"maptiles","0.11.0","direct"
"patchwork","1.3.1","direct"
"purrr","1.0.4","direct"
"readr","2.1.5","direct"
"rgbif","3.8.2","direct"
"stringr","1.5.1","direct"
"taxize","0.10.1","direct"
"terra","1.8.60","direct"
"tibble","3.3.0","direct"
"tidyr","1.3.1","direct"
"tidyterra","0.7.2","direct"
"tidyverse","2.0.0","direct"
"tools","4.5.1","direct"
"usdm","2.1.7","direct"
"viridis","0.6.5","direct"
"vroom","1.6.5","direct"
"worrms","0.4.3","direct"
